TITULO;DESCRICAO;DATA_IDA;DATA_VOLTA;ID_INSTITUICAO;ID_ENDERECO;ID_ROTA_IDA;ID_ROTA_VOLTA;ID_USUARIO_RESPONSAVEL
Reunião Empresa;Reunião com todos os colaboradores de empresa.;31/10/2022;03/11/2022;119;14;20;20;6
Políticas públicas de Igualdade;Apresentar a questão da desigualdade racial e de gênero no Brasil, numa perspectiva histórico-jurídica;20/10/2022;26/10/2022;58;3;7;7;2
Política de Cotas para Ingresso nas Instituições Federais de Ensino;O Tribunal de Contas da União (TCU) promoverá no dia 1 de junho de 2022, às 9:00h, o Diálogo Público: Política de Cotas para Ingresso nas Instituições Federais de Ensino;19/09/2022;22/09/2022;62;13;6;6;12
Diálogo Público Sistema Nacional de Defesa Civil;O evento será virtual, transmitido ao vivo pelo canal oficial do TCU no YouTube. O objetivo deste evento é contribuir para o fortalecimento da gestão Municipal na execução da Política Nacional de Proteção e Defesa Civil.;01/09/2022;03/09/2022;12;7;12;12;9
Lançamento da Rede BlockChain Brasil;Nessa cerimônia de lançamento da RBB, os patronos da rede, TCU e BNDES, pretendem selar a parceria promovida através da assinatura desse compromisso.;18/08/2022;20/08/2022;78;2;24;24;5
Ciclo de Seminários Desafios da Economia Brasileira;O evento contará com a presença do Vice-Presidente do Tribunal de Contas da União, Ministro Bruno Dantas, e do Presidente da Fiesp, Josué Gomes da Silva e do Procurador de Contas do TCU.;11/08/2022;12/08/2022;41;15;23;23;8
Implementação do novo Marco do Saneamento;Espera-se, com este painel, que o participante compreenda a situação atual e os desafios à elaboração das normas de referência e a atuação do poder executivo federal na implementação do novo marco do saneamento básico.;21/07/2022;22/07/2022;158;10;11;11;3
Prevenção e Combate ao assédio: práticas e modelo para implantação;Com o objetivo de discutir o impacto do assédio nas organizações, o evento irá apresentar o modelo teórico desenvolvido pelo Tribunal de Contas da União para a implantação do sistema de prevenção e combate ao assédio moral.;12/05/2022;13/05/2022;139;8;10;10;14
Dialogo Público da Desestatização do Porto de Santos;O objetivo é promover um Diálogo Público para tratar dos estudos relativos à desestatização do Porto de Santos e que foi submetida à avaliação do Tribunal.;05/05/2022;06/05/2022;75;4;9;9;15
Força Tarefa Cidadã Compromisso pela Transparência Pública;O evento tem o objetivo de apresentar os resultados das avaliações dos instrumentos de transparência dos municípios dos Estados de Santa Catarina, Paraná, Tocantins.;21/07/2022;22/07/2022;122;13;26;26;11
